2019-08-05 16:23:43,944 - INFO[line:226]: Total batch number is %s 1417
2019-08-05 16:23:44,062 - INFO[line:228]: The number after filtering is 287
2019-08-05 16:23:56,983 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1153926848443449344' and to_date(expire_time)='2019-08-07' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='07' and daystr >='24'
2019-08-05 16:23:56,983 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1011884562684448768' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2018' and monthstr >='06' and daystr >='28'
2019-08-05 16:23:56,983 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1118446330973388800' and to_date(expire_time)='2019-08-10' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='04' and daystr >='17'
2019-08-05 16:23:56,983 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1145581305111642112' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='07' and daystr >='01'
2019-08-05 16:23:56,983 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1148075014696861696' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='07' and daystr >='08'
2019-08-05 16:23:56,983 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1121965664232407040' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='04' and daystr >='27'
2019-08-05 16:23:56,984 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1099975353356648448' and to_date(expire_time)='2019-08-08' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='02' and daystr >='27'
2019-08-05 16:23:56,984 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1119079848451637248' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='04' and daystr >='19'
2019-08-05 16:23:56,984 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1110805989340348416' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='03' and daystr >='27'
2019-08-05 16:23:56,984 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1145522952658354176' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='07' and daystr >='01'
2019-08-05 16:23:56,984 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1076134064085401600' and to_date(expire_time)='2019-08-08' and lifecycle_st ='8' and yearstr >='2018' and monthstr >='12' and daystr >='21'
2019-08-05 16:23:56,984 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1057563232794968064' and to_date(expire_time)='2019-08-08' and lifecycle_st ='8' and yearstr >='2018' and monthstr >='10' and daystr >='31'
2019-08-05 16:23:56,984 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1103183672984600576' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='03' and daystr >='06'
2019-08-05 16:23:56,984 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1146689867556716544' and to_date(expire_time)='2019-08-07' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='07' and daystr >='04'
2019-08-05 16:23:56,986 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1136175653650038784' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='06' and daystr >='05'
2019-08-05 16:23:56,986 - INFO[line:183]: [done] select batch_id,bind_no from pods.coupons_v2_td_pcard_info  where batch_id ='1148483185022205952' and to_date(expire_time)='2019-08-12' and lifecycle_st ='8' and yearstr >='2019' and monthstr >='07' and daystr >='09'
